img,Class
img_100148.jpg,Texting - left
img_100149.jpg,Operating the radio
img_10015.jpg,Talking on the phone - left
img_100150.jpg,Operating the radio
img_100151.jpg,Drinking
img_100154.jpg,Safe driving
img_100156.jpg,Hair and makeup
img_100157.jpg,Hair and makeup
img_100158.jpg,Texting - right
img_100159.jpg,Texting - left
img_10016.jpg,Reaching behind
img_100160.jpg,Operating the radio
img_100161.jpg,Drinking
img_100162.jpg,Reaching behind
img_100163.jpg,Operating the radio
img_100165.jpg,Texting - left
img_100166.jpg,Safe driving
img_100169.jpg,Hair and makeup
img_10017.jpg,Hair and makeup
img_100170.jpg,Drinking
img_100171.jpg,Reaching behind
img_100172.jpg,Safe driving
img_100173.jpg,Drinking
img_100174.jpg,Texting - left
img_100175.jpg,Hair and makeup
img_100177.jpg,Drinking
img_100178.jpg,Operating the radio
img_100179.jpg,Operating the radio
img_10018.jpg,Texting - left
img_100180.jpg,Drinking
img_100182.jpg,Reaching behind
img_100183.jpg,Operating the radio
img_100184.jpg,Talking on the phone - left
img_100185.jpg,Reaching behind
img_100186.jpg,Operating the radio
img_100187.jpg,Talking on the phone - right
img_100189.jpg,Texting - left
img_10019.jpg,Texting - left
img_100192.jpg,Texting - right
img_100193.jpg,Operating the radio
img_100194.jpg,Texting - right
img_100195.jpg,Talking on the phone - left
img_100196.jpg,Drinking
img_100197.jpg,Safe driving
img_100198.jpg,Reaching behind
img_100199.jpg,Drinking
img_1002.jpg,Operating the radio
img_10020.jpg,Texting - left
img_100202.jpg,Reaching behind
img_100203.jpg,Talking on the phone - left
img_100204.jpg,Drinking
img_100205.jpg,Safe driving
img_100206.jpg,Safe driving
img_100207.jpg,Hair and makeup
img_100208.jpg,Drinking
img_100209.jpg,Drinking
img_10021.jpg,Texting - left
img_100210.jpg,Operating the radio
img_100211.jpg,Operating the radio
img_100212.jpg,Hair and makeup
img_100213.jpg,Talking on the phone - right
img_100214.jpg,Drinking
img_100216.jpg,Reaching behind
img_100217.jpg,Safe driving
img_100218.jpg,Safe driving
img_100219.jpg,Operating the radio
img_10022.jpg,Texting - right
img_100220.jpg,Reaching behind
img_100221.jpg,Operating the radio
img_100222.jpg,Drinking
img_100223.jpg,Hair and makeup
img_100224.jpg,Talking on the phone - left
img_100226.jpg,Talking to passenger
img_100227.jpg,Hair and makeup
img_100228.jpg,Drinking
img_100229.jpg,Operating the radio
img_10023.jpg,Operating the radio
img_100231.jpg,Drinking
img_100233.jpg,Reaching behind
img_100234.jpg,Texting - left
img_100236.jpg,Reaching behind
img_100237.jpg,Talking on the phone - left
img_100238.jpg,Safe driving
img_100239.jpg,Texting - left
img_10024.jpg,Reaching behind
img_100240.jpg,Operating the radio
img_100243.jpg,Operating the radio
img_100244.jpg,Hair and makeup
img_100245.jpg,Talking on the phone - right
img_100247.jpg,Reaching behind
img_100248.jpg,Reaching behind
img_100249.jpg,Operating the radio
img_100250.jpg,Operating the radio
img_100252.jpg,Talking on the phone - right
img_100253.jpg,Hair and makeup
img_100254.jpg,Talking on the phone - left
img_100255.jpg,Texting - left
img_100258.jpg,Operating the radio
img_100259.jpg,Talking on the phone - left
img_10026.jpg,Hair and makeup
img_100260.jpg,Talking on the phone - left
img_100261.jpg,Operating the radio
img_100262.jpg,Talking on the phone - left
img_100263.jpg,Texting - left
img_100264.jpg,Operating the radio
img_100265.jpg,Hair and makeup
img_100266.jpg,Operating the radio
img_100267.jpg,Talking on the phone - left
img_100268.jpg,Drinking
img_100269.jpg,Texting - left
img_10027.jpg,Drinking
img_100271.jpg,Reaching behind
img_100272.jpg,Operating the radio
img_100273.jpg,Operating the radio
img_100274.jpg,Reaching behind
img_100275.jpg,Operating the radio
img_100276.jpg,Texting - right
img_100278.jpg,Talking on the phone - left
img_100279.jpg,Safe driving
img_10028.jpg,Operating the radio
img_100280.jpg,Hair and makeup
img_100282.jpg,Operating the radio
img_100283.jpg,Drinking
img_100284.jpg,Reaching behind
img_100287.jpg,Hair and makeup
img_100288.jpg,Drinking
img_100289.jpg,Drinking
img_10029.jpg,Texting - left
img_100290.jpg,Hair and makeup
img_100291.jpg,Operating the radio
img_100292.jpg,Talking on the phone - left
img_100293.jpg,Safe driving
img_100296.jpg,Talking on the phone - left
img_100298.jpg,Operating the radio
img_1003.jpg,Reaching behind
img_10030.jpg,Texting - left
img_100300.jpg,Drinking
img_100301.jpg,Hair and makeup
img_100302.jpg,Texting - left
img_100303.jpg,Hair and makeup
img_100304.jpg,Operating the radio
img_100305.jpg,Texting - left
img_100306.jpg,Texting - left
img_100307.jpg,Hair and makeup
img_100308.jpg,Operating the radio
img_10031.jpg,Texting - left
img_100310.jpg,Operating the radio
img_100311.jpg,Hair and makeup
img_100313.jpg,Talking on the phone - right
img_100315.jpg,Operating the radio
img_100316.jpg,Operating the radio
img_100317.jpg,Drinking
img_100318.jpg,Safe driving
img_100319.jpg,Operating the radio
img_10032.jpg,Talking to passenger
img_100320.jpg,Texting - left
img_100321.jpg,Reaching behind
img_100322.jpg,Drinking
img_100323.jpg,Talking on the phone - left
img_100324.jpg,Hair and makeup
img_100325.jpg,Texting - left
img_100326.jpg,Texting - left
img_100329.jpg,Operating the radio
img_10033.jpg,Reaching behind
img_100330.jpg,Reaching behind
img_100331.jpg,Talking on the phone - right
img_100332.jpg,Talking on the phone - left
img_100333.jpg,Talking on the phone - left
img_100335.jpg,Texting - left
img_100338.jpg,Hair and makeup
img_100340.jpg,Texting - right
img_100341.jpg,Hair and makeup
img_100342.jpg,Operating the radio
img_100344.jpg,Operating the radio
img_100345.jpg,Reaching behind
img_100346.jpg,Talking on the phone - right
img_100349.jpg,Drinking
img_10035.jpg,Reaching behind
img_100350.jpg,Talking on the phone - left
img_100351.jpg,Hair and makeup
img_100353.jpg,Operating the radio
img_100354.jpg,Reaching behind
img_100355.jpg,Drinking
img_100356.jpg,Drinking
img_100357.jpg,Safe driving
img_100359.jpg,Talking on the phone - right
img_10036.jpg,Safe driving
img_100360.jpg,Operating the radio
img_100362.jpg,Operating the radio
img_100363.jpg,Talking on the phone - left
img_100366.jpg,Operating the radio
img_100367.jpg,Operating the radio
img_100369.jpg,Talking on the phone - right
img_10037.jpg,Hair and makeup
img_100370.jpg,Texting - right
img_100372.jpg,Safe driving
img_100373.jpg,Hair and makeup
img_100376.jpg,Talking on the phone - right
img_100377.jpg,Operating the radio
img_100378.jpg,Hair and makeup
img_10038.jpg,Texting - right
img_100380.jpg,Operating the radio
img_100381.jpg,Texting - left
img_100382.jpg,Drinking
img_100383.jpg,Reaching behind
img_100384.jpg,Safe driving
img_100385.jpg,Operating the radio
img_100386.jpg,Talking on the phone - right
img_100387.jpg,Reaching behind
img_100388.jpg,Reaching behind
img_100389.jpg,Hair and makeup
img_100390.jpg,Operating the radio
img_100391.jpg,Drinking
img_100392.jpg,Drinking
img_100395.jpg,Talking on the phone - right
img_100397.jpg,Reaching behind
img_100398.jpg,Talking on the phone - right
img_1004.jpg,Hair and makeup
img_10040.jpg,Reaching behind
img_100400.jpg,Reaching behind
img_100401.jpg,Talking on the phone - right
img_100402.jpg,Talking to passenger
img_100404.jpg,Operating the radio
img_100405.jpg,Reaching behind
img_100406.jpg,Texting - right
img_100407.jpg,Safe driving
img_100409.jpg,Talking on the phone - right
img_10041.jpg,Operating the radio
img_100410.jpg,Talking on the phone - right
img_100411.jpg,Reaching behind
img_100413.jpg,Safe driving
img_100415.jpg,Operating the radio
img_100416.jpg,Talking on the phone - left
img_100417.jpg,Reaching behind
img_100418.jpg,Safe driving
img_10042.jpg,Talking on the phone - left
img_100420.jpg,Drinking
img_100422.jpg,Talking on the phone - left
img_100424.jpg,Safe driving
img_100425.jpg,Drinking
img_100426.jpg,Hair and makeup
img_100427.jpg,Hair and makeup
img_10043.jpg,Drinking
img_100430.jpg,Talking on the phone - right
img_100432.jpg,Talking on the phone - right
img_100433.jpg,Operating the radio
img_100434.jpg,Texting - right
img_100435.jpg,Hair and makeup
img_100436.jpg,Texting - left
img_100437.jpg,Talking on the phone - left
img_100438.jpg,Safe driving
img_100439.jpg,Hair and makeup
img_10044.jpg,Talking on the phone - right
img_100440.jpg,Hair and makeup
img_100441.jpg,Drinking
img_100443.jpg,Texting - right
img_100444.jpg,Drinking
img_100445.jpg,Operating the radio
img_100447.jpg,Operating the radio
img_100448.jpg,Texting - left
img_100449.jpg,Operating the radio
img_10045.jpg,Talking on the phone - left
img_100450.jpg,Texting - left
img_100453.jpg,Drinking
img_100454.jpg,Hair and makeup
img_100457.jpg,Hair and makeup
img_100459.jpg,Talking on the phone - left
img_100461.jpg,Operating the radio
img_100462.jpg,Texting - right
img_100463.jpg,Operating the radio
img_100464.jpg,Operating the radio
img_100465.jpg,Talking on the phone - right
img_100466.jpg,Reaching behind
img_100468.jpg,Hair and makeup
img_10047.jpg,Texting - right
img_100470.jpg,Reaching behind
img_100473.jpg,Talking on the phone - right
img_100474.jpg,Operating the radio
img_100475.jpg,Reaching behind
img_100476.jpg,Texting - right
img_100477.jpg,Safe driving
img_100478.jpg,Talking on the phone - left
img_100479.jpg,Reaching behind
img_100481.jpg,Texting - left
img_100482.jpg,Safe driving
img_100483.jpg,Talking to passenger
img_100484.jpg,Talking on the phone - left
img_100485.jpg,Hair and makeup
img_100486.jpg,Reaching behind
img_100487.jpg,Talking on the phone - left
img_100488.jpg,Safe driving
img_100489.jpg,Reaching behind
img_10049.jpg,Hair and makeup
img_100490.jpg,Hair and makeup
img_100491.jpg,Hair and makeup
img_100492.jpg,Operating the radio
img_100494.jpg,Texting - left
img_100495.jpg,Operating the radio
img_100496.jpg,Reaching behind
img_100497.jpg,Safe driving
img_100498.jpg,Hair and makeup
img_100500.jpg,Drinking
img_100501.jpg,Reaching behind
img_100504.jpg,Operating the radio
img_100505.jpg,Operating the radio
img_100506.jpg,Talking on the phone - left
img_100507.jpg,Hair and makeup
img_100508.jpg,Reaching behind
img_100509.jpg,Talking on the phone - right
img_10051.jpg,Texting - left
img_100510.jpg,Operating the radio
img_100511.jpg,Reaching behind
img_100512.jpg,Operating the radio
img_100513.jpg,Safe driving
img_100516.jpg,Talking on the phone - left
img_100517.jpg,Talking on the phone - left
img_100518.jpg,Texting - left
img_100519.jpg,Talking on the phone - right
img_100520.jpg,Drinking
img_100521.jpg,Reaching behind
img_100522.jpg,Hair and makeup
img_100523.jpg,Operating the radio
img_100524.jpg,Reaching behind
img_100525.jpg,Texting - left
img_100526.jpg,Reaching behind
img_100527.jpg,Operating the radio
img_100531.jpg,Operating the radio
img_100532.jpg,Texting - left
img_100533.jpg,Talking on the phone - left
img_100534.jpg,Operating the radio
img_100535.jpg,Operating the radio
img_100536.jpg,Reaching behind
img_100537.jpg,Operating the radio
img_100538.jpg,Reaching behind
img_100539.jpg,Operating the radio
img_10054.jpg,Talking on the phone - left
img_100541.jpg,Talking on the phone - right
img_100543.jpg,Talking on the phone - right
img_100544.jpg,Reaching behind
img_100546.jpg,Talking on the phone - left
img_100547.jpg,Drinking
img_100549.jpg,Talking on the phone - left
img_10055.jpg,Talking on the phone - left
img_100550.jpg,Talking on the phone - left
img_100551.jpg,Talking on the phone - right
img_100552.jpg,Talking on the phone - left
img_100553.jpg,Operating the radio
img_100554.jpg,Talking on the phone - right
img_100555.jpg,Reaching behind
img_100557.jpg,Operating the radio
img_100558.jpg,Operating the radio
img_100559.jpg,Talking on the phone - left
img_10056.jpg,Safe driving
img_100560.jpg,Reaching behind
img_100562.jpg,Hair and makeup
img_100563.jpg,Texting - right
img_100564.jpg,Reaching behind
img_100566.jpg,Operating the radio
img_100567.jpg,Operating the radio
img_100569.jpg,Drinking
img_10057.jpg,Drinking
img_100570.jpg,Talking on the phone - left
img_100571.jpg,Hair and makeup
img_100572.jpg,Drinking
img_100573.jpg,Hair and makeup
img_100574.jpg,Hair and makeup
img_100575.jpg,Drinking
img_100576.jpg,Drinking
img_100577.jpg,Talking on the phone - right
img_100578.jpg,Drinking
img_10058.jpg,Texting - right
img_100580.jpg,Operating the radio
img_100581.jpg,Reaching behind
img_100582.jpg,Texting - right
img_100583.jpg,Drinking
img_100584.jpg,Drinking
img_100585.jpg,Hair and makeup
img_100586.jpg,Talking on the phone - left
img_100587.jpg,Drinking
img_100588.jpg,Drinking
img_10059.jpg,Safe driving
img_100590.jpg,Operating the radio
img_100591.jpg,Hair and makeup
img_100592.jpg,Drinking
img_100593.jpg,Texting - left
img_100595.jpg,Texting - right
img_100596.jpg,Texting - right
img_100597.jpg,Operating the radio
img_100599.jpg,Talking on the phone - right
img_1006.jpg,Texting - left
img_10060.jpg,Talking on the phone - left
img_100600.jpg,Talking on the phone - right
img_100601.jpg,Talking on the phone - left
img_100602.jpg,Hair and makeup
img_100603.jpg,Hair and makeup
img_100604.jpg,Reaching behind
img_100606.jpg,Hair and makeup
img_100607.jpg,Hair and makeup
img_100608.jpg,Talking on the phone - left
img_100609.jpg,Texting - left
img_10061.jpg,Operating the radio
img_100610.jpg,Operating the radio
img_100612.jpg,Texting - left
img_100613.jpg,Talking on the phone - left
img_100614.jpg,Talking on the phone - right
img_100615.jpg,Texting - left
img_100616.jpg,Reaching behind
img_100617.jpg,Reaching behind
img_100618.jpg,Talking on the phone - left
img_100619.jpg,Hair and makeup
img_100620.jpg,Drinking
img_100621.jpg,Operating the radio
img_100622.jpg,Operating the radio
img_100623.jpg,Texting - left
img_100624.jpg,Operating the radio
img_100625.jpg,Hair and makeup
img_100626.jpg,Operating the radio
img_100628.jpg,Operating the radio
img_100629.jpg,Texting - right
img_10063.jpg,Operating the radio
img_100630.jpg,Safe driving
img_100631.jpg,Reaching behind
img_100632.jpg,Reaching behind
img_100633.jpg,Reaching behind
img_100635.jpg,Talking on the phone - left
img_100637.jpg,Talking to passenger
img_100639.jpg,Talking on the phone - right
img_10064.jpg,Hair and makeup
img_100641.jpg,Talking on the phone - left
img_100642.jpg,Drinking
img_100644.jpg,Talking on the phone - left
img_100645.jpg,Operating the radio
img_100647.jpg,Operating the radio
img_100648.jpg,Drinking
img_100649.jpg,Operating the radio
img_10065.jpg,Drinking
img_100650.jpg,Drinking
img_100651.jpg,Texting - right
img_100652.jpg,Operating the radio
img_100653.jpg,Drinking
img_100654.jpg,Hair and makeup
img_100655.jpg,Talking on the phone - left
img_100657.jpg,Reaching behind
img_100658.jpg,Reaching behind
img_100659.jpg,Hair and makeup
img_10066.jpg,Talking on the phone - left
img_100660.jpg,Drinking
img_100661.jpg,Talking on the phone - left
img_100662.jpg,Operating the radio
img_100663.jpg,Hair and makeup
img_100666.jpg,Talking on the phone - left
img_100667.jpg,Texting - right
img_100668.jpg,Texting - left
img_100669.jpg,Hair and makeup
img_10067.jpg,Operating the radio
img_100670.jpg,Safe driving
img_100671.jpg,Operating the radio
img_100672.jpg,Operating the radio
img_100673.jpg,Operating the radio
img_100674.jpg,Talking on the phone - right
img_100675.jpg,Drinking
img_100677.jpg,Safe driving
img_100678.jpg,Hair and makeup
img_100679.jpg,Safe driving
img_100680.jpg,Safe driving
img_100681.jpg,Reaching behind
img_100684.jpg,Hair and makeup
img_100685.jpg,Hair and makeup
img_100686.jpg,Operating the radio
img_100687.jpg,Drinking
img_10069.jpg,Operating the radio
img_100692.jpg,Safe driving
img_100694.jpg,Drinking
img_100696.jpg,Talking on the phone - left
img_100698.jpg,Operating the radio
img_100699.jpg,Operating the radio
img_1007.jpg,Operating the radio
img_10070.jpg,Talking on the phone - left
img_100700.jpg,Texting - right
img_100703.jpg,Talking on the phone - right
img_100704.jpg,Hair and makeup
img_100705.jpg,Safe driving
img_100707.jpg,Operating the radio
img_100708.jpg,Safe driving
img_100709.jpg,Operating the radio
img_10071.jpg,Reaching behind
img_100710.jpg,Talking on the phone - left
img_100711.jpg,Texting - right
img_100712.jpg,Operating the radio
img_100713.jpg,Hair and makeup
img_100714.jpg,Drinking
img_100716.jpg,Drinking
img_100717.jpg,Drinking
img_100718.jpg,Operating the radio
img_100719.jpg,Operating the radio
img_10072.jpg,Safe driving
img_100720.jpg,Drinking
img_100721.jpg,Hair and makeup
img_100722.jpg,Hair and makeup
img_100723.jpg,Talking on the phone - left
img_100724.jpg,Talking on the phone - right
img_100725.jpg,Texting - left
img_100726.jpg,Operating the radio
img_100727.jpg,Talking on the phone - left
img_100728.jpg,Talking on the phone - right
img_10073.jpg,Texting - left
img_100730.jpg,Hair and makeup
img_100731.jpg,Talking on the phone - left
img_100732.jpg,Talking on the phone - left
img_100733.jpg,Safe driving
img_100734.jpg,Operating the radio
img_100736.jpg,Talking on the phone - right
img_100737.jpg,Safe driving
img_100739.jpg,Talking on the phone - right
img_10074.jpg,Hair and makeup
img_100740.jpg,Operating the radio
img_100741.jpg,Talking on the phone - left
img_100742.jpg,Texting - left
img_100744.jpg,Operating the radio
img_100745.jpg,Talking on the phone - left
img_100746.jpg,Talking on the phone - left
img_100747.jpg,Operating the radio
img_100748.jpg,Hair and makeup
img_10075.jpg,Talking on the phone - right
img_100750.jpg,Drinking
img_100751.jpg,Drinking
img_100752.jpg,Texting - left
img_100753.jpg,Hair and makeup
img_100755.jpg,Drinking
img_100756.jpg,Talking on the phone - left
img_100757.jpg,Reaching behind
img_100758.jpg,Talking on the phone - left
img_100759.jpg,Operating the radio
img_10076.jpg,Operating the radio
img_100760.jpg,Operating the radio
img_100761.jpg,Safe driving
img_100763.jpg,Operating the radio
img_100764.jpg,Hair and makeup
img_100765.jpg,Talking on the phone - right
img_100766.jpg,Texting - left
img_100767.jpg,Talking to passenger
img_100768.jpg,Talking on the phone - right
img_100769.jpg,Drinking
img_10077.jpg,Talking to passenger
img_100770.jpg,Talking on the phone - left
img_100771.jpg,Operating the radio
img_100772.jpg,Talking on the phone - left
img_100773.jpg,Talking on the phone - left
img_100774.jpg,Hair and makeup
img_100775.jpg,Hair and makeup
img_100779.jpg,Operating the radio
img_100780.jpg,Talking on the phone - right
img_100781.jpg,Talking on the phone - left
img_100782.jpg,Hair and makeup
img_100785.jpg,Drinking
img_100786.jpg,Operating the radio
img_100788.jpg,Talking on the phone - right
img_100789.jpg,Drinking
img_10079.jpg,Drinking
img_100790.jpg,Reaching behind
img_100792.jpg,Texting - left
img_100793.jpg,Texting - left
img_100794.jpg,Drinking
img_100795.jpg,Talking to passenger
img_100798.jpg,Hair and makeup
img_100799.jpg,Operating the radio
img_1008.jpg,Hair and makeup
img_100800.jpg,Operating the radio
img_100801.jpg,Operating the radio
img_100802.jpg,Operating the radio
img_100803.jpg,Talking on the phone - left
img_100804.jpg,Reaching behind
img_100805.jpg,Drinking
img_100806.jpg,Operating the radio
img_100807.jpg,Operating the radio
img_100809.jpg,Hair and makeup
img_10081.jpg,Hair and makeup
img_100810.jpg,Reaching behind
img_100812.jpg,Hair and makeup
img_100815.jpg,Texting - right
img_100817.jpg,Texting - left
img_100819.jpg,Safe driving
img_10082.jpg,Operating the radio
img_100820.jpg,Hair and makeup
img_100822.jpg,Operating the radio
img_100826.jpg,Drinking
img_100827.jpg,Talking on the phone - left
img_100829.jpg,Texting - left
img_10083.jpg,Operating the radio
img_100831.jpg,Hair and makeup
img_100832.jpg,Texting - left
img_100833.jpg,Drinking
img_100834.jpg,Safe driving
img_100835.jpg,Reaching behind
img_100836.jpg,Safe driving
img_100839.jpg,Talking on the phone - left
img_10084.jpg,Reaching behind
img_100840.jpg,Texting - left
img_100841.jpg,Operating the radio
img_100842.jpg,Operating the radio
img_100843.jpg,Safe driving
img_100844.jpg,Talking on the phone - right
img_100845.jpg,Drinking
img_100847.jpg,Talking on the phone - right
img_100848.jpg,Talking on the phone - left
img_100849.jpg,Texting - left
img_10085.jpg,Talking on the phone - left
img_100851.jpg,Operating the radio
img_100852.jpg,Talking on the phone - left
img_100853.jpg,Texting - left
img_100854.jpg,Drinking
img_100855.jpg,Texting - left
img_100856.jpg,Operating the radio
img_100857.jpg,Operating the radio
img_100858.jpg,Talking on the phone - right
img_100859.jpg,Talking on the phone - left
img_10086.jpg,Reaching behind
img_100860.jpg,Operating the radio
img_100861.jpg,Talking on the phone - left
img_100862.jpg,Texting - left
img_100863.jpg,Operating the radio
img_100864.jpg,Talking on the phone - right
img_100865.jpg,Reaching behind
img_100866.jpg,Reaching behind
img_100867.jpg,Texting - left
img_100868.jpg,Talking on the phone - left
img_100869.jpg,Operating the radio
img_10087.jpg,Reaching behind
img_100873.jpg,Talking on the phone - right
img_100874.jpg,Operating the radio
img_100875.jpg,Drinking
img_100876.jpg,Drinking
img_100877.jpg,Operating the radio
img_100878.jpg,Talking to passenger
img_100879.jpg,Drinking
img_10088.jpg,Hair and makeup
img_100880.jpg,Reaching behind
img_100881.jpg,Operating the radio
img_100883.jpg,Talking on the phone - right
img_100884.jpg,Reaching behind
img_100885.jpg,Drinking
img_100886.jpg,Operating the radio
img_100887.jpg,Talking on the phone - left
img_100888.jpg,Reaching behind
img_100889.jpg,Talking on the phone - left
img_10089.jpg,Reaching behind
img_100890.jpg,Safe driving
img_100891.jpg,Operating the radio
img_100892.jpg,Talking on the phone - right
img_100893.jpg,Reaching behind
img_100894.jpg,Talking on the phone - left
img_100895.jpg,Operating the radio
img_100896.jpg,Safe driving
img_100898.jpg,Operating the radio
img_100899.jpg,Drinking
img_1009.jpg,Texting - left
img_100900.jpg,Hair and makeup
img_100901.jpg,Talking on the phone - right
img_100902.jpg,Talking on the phone - right
img_100903.jpg,Texting - right
img_100904.jpg,Reaching behind
img_100906.jpg,Texting - left
img_100907.jpg,Texting - right
img_100908.jpg,Operating the radio
img_100909.jpg,Operating the radio
img_10091.jpg,Drinking
img_100910.jpg,Drinking
img_100911.jpg,Talking on the phone - right
img_100914.jpg,Talking on the phone - left
img_100916.jpg,Talking to passenger
img_100917.jpg,Texting - right
img_100918.jpg,Talking on the phone - left
img_100919.jpg,Hair and makeup
img_100920.jpg,Talking on the phone - right
img_100921.jpg,Texting - left
img_100923.jpg,Operating the radio
img_100924.jpg,Hair and makeup
img_100925.jpg,Hair and makeup
img_100926.jpg,Texting - right
img_100928.jpg,Texting - right
img_100929.jpg,Talking on the phone - right
img_100930.jpg,Reaching behind
img_100931.jpg,Hair and makeup
img_100933.jpg,Hair and makeup
img_100934.jpg,Safe driving
img_100935.jpg,Talking on the phone - left
img_100936.jpg,Operating the radio
img_100937.jpg,Talking on the phone - right
img_100938.jpg,Talking on the phone - left
img_100940.jpg,Safe driving
img_100941.jpg,Hair and makeup
img_100942.jpg,Talking on the phone - right
img_100943.jpg,Reaching behind
img_100944.jpg,Hair and makeup
img_100945.jpg,Hair and makeup
img_100946.jpg,Talking to passenger
img_100947.jpg,Texting - right
img_100948.jpg,Texting - left
img_100949.jpg,Talking on the phone - left
img_10095.jpg,Reaching behind
img_100950.jpg,Operating the radio
img_100951.jpg,Talking on the phone - left
img_100952.jpg,Talking on the phone - right
img_100953.jpg,Drinking
img_100954.jpg,Reaching behind
img_100955.jpg,Talking on the phone - left
img_100956.jpg,Reaching behind
img_100957.jpg,Talking on the phone - left
img_100958.jpg,Texting - left
img_100959.jpg,Safe driving
img_100960.jpg,Talking on the phone - left
img_100962.jpg,Operating the radio
img_100963.jpg,Talking on the phone - left
img_100964.jpg,Operating the radio
img_100965.jpg,Safe driving
img_100966.jpg,Texting - left
img_100967.jpg,Texting - left
img_100968.jpg,Safe driving
img_100969.jpg,Drinking
img_10097.jpg,Texting - left
img_100970.jpg,Operating the radio
img_100971.jpg,Drinking
